Refund_ID,Return_ID,Refund_Date,Refund_Amount,Refund_Status
950124,900124,2025-01-02,17495.45,
950125,900125,2024-05-02,876.47,processed
950126,900126,2025-05-18,16975.65,Processed
950127,900127,2024-07-09,8016.12,processed
950128,900128,2024-09-24,2112.1,
950129,900129,2024-08-15,21005.71,processed
950130,900130,2024-12-28,12081.42,processed
950131,900131,2025-12-04,25535.89,Pending
950132,900132,2025-09-24,3016.2,Pending
950133,900133,2024-07-05,11893.68,processed
950134,900134,2025-07-14,3773.68,pending
950135,900135,2024-05-08,6602.63,pending
950136,900136,2025-02-19,6253.94,Processed
950137,900137,2024-02-07,273.94,
950138,900138,2024-08-03,472.86,Failed
950139,900139,2025-12-20,2258.1,Pending
950140,900140,2024-12-06,701.68,pending
950141,900141,2025-07-23,1038.72,processed
950142,900142,2025-12-04,1243.35,Processed
950143,900143,2025-02-11,10317.64,processed
950144,900144,2025-12-14,18407.13,Processed
950145,900145,2025-10-20,1811.67,
950146,900146,2025-08-14,385.66,
950147,900147,2025-03-21,7145.61,Processed
950148,900148,2024-12-14,1066.06,Processed
950149,900149,2024-10-15,1750.77,processed
950150,900150,2025-07-25,695.4,processed
950151,900151,2024-12-13,3684.96,
950152,900152,2025-09-12,2053.58,Pending
950153,900153,2024-07-09,39038.71,processed
950154,900154,2026-01-14,3765311.96,Processed
950155,900155,2024-01-27,500000.0,
950156,900156,2024-03-06,49153.91,Pending
950157,900157,2024-06-05,9610.76,
950158,900158,2026-01-13,21944.67,Failed
950159,900159,2024-04-05,4608.11,processed
950160,900160,2024-05-15,5183.06,Processed
950161,900161,2025-05-13,3761.68,pending
950162,900162,2025-06-02,1031.75,
950163,900163,2024-10-30,4749.15,Processed
950164,900164,2025-12-12,4753.97,pending
950165,900165,2025-07-09,819.71,Processed
950166,900166,2024-09-10,4520.92,Failed
950167,900167,2024-10-26,4185.51,Failed
950168,900168,2024-06-08,9304.75,processed
950169,900169,2024-09-10,9277.28,processed
950170,900170,2024-05-13,234.36,Processed
950171,900171,2024-06-04,27463.58,Failed
950172,900172,2024-10-03,2473.06,processed
950173,900173,2025-09-08,4990.37,processed
950174,900174,2025-10-06,10840.43,processed
950175,900175,2024-07-10,3922.16,pending
950176,900176,2025-10-13,28142.28,Pending
950177,900177,2024-04-04,5268.61,
950178,900178,2025-05-02,2677.61,Pending
950179,900179,2025-05-08,4170.16,pending
950180,900180,2025-08-20,324.7,Processed
950181,900181,2025-07-16,731.37,Processed
950182,900182,2025-11-10,1404.43,pending
950183,900183,2025-09-24,1757.13,processed
950184,900184,2024-06-05,10186.73,Processed
950185,900185,2024-08-21,1293.92,Failed
950186,900186,2025-02-03,4701.11,pending
950187,900187,2025-04-18,9115.93,Pending
950188,900188,2025-07-17,633.11,
950189,900189,2025-09-15,3336.94,processed
950190,900190,2024-10-19,871.52,pending
950191,900191,2024-07-30,2347.77,processed
950192,900192,2025-07-21,1152.78,processed
950193,900193,2024-04-04,6596.23,Processed
950194,900194,2024-04-21,315.23,Processed
950195,900195,2025-01-25,3590.76,pending
950196,900196,2025-03-26,27055.16,Pending
950197,900197,2024-12-02,7954.67,Processed
950198,900198,2024-09-22,14691.39,Processed
950199,900199,2024-07-19,2443.66,Failed
950200,900200,2025-04-08,50676.1,Processed
950201,900201,2026-01-02,1578.08,Failed
950202,900202,2024-12-18,28293.43,processed
950203,900203,2025-08-12,1988.57,Processed
950204,900204,2025-10-12,1336.22,Failed
950205,900205,2024-12-21,2665.31,Pending
950206,900206,2024-10-10,9211.13,Pending
950207,900207,2024-08-20,5299.7,
950208,900208,2024-06-02,836.54,pending
950209,900209,2025-04-22,1459.47,Pending
950210,900210,2024-02-22,3906.97,Failed
950211,900211,2024-07-18,3881.39,processed
950212,900212,2024-07-08,4625.73,
950213,900213,2025-09-03,9892.11,
950214,900214,2025-03-21,1475.88,pending
950215,900215,2025-02-08,804.52,
950216,900216,2024-10-19,2153.27,Processed
950217,900217,2025-02-25,0.0,processed
950218,900218,2025-05-07,4864.82,Pending
950219,900219,2024-04-18,0.0,Failed
950220,900220,2025-06-10,14394.9,processed
950221,900221,2026-01-16,818.95,processed
950222,900222,2024-09-16,764.92,Failed
950223,900223,2025-02-21,5826.19,Processed
950224,900224,2025-08-19,2546.12,pending
950225,900225,2024-06-26,9927.16,pending
950226,900226,2024-05-28,3987.03,Processed
950227,900227,2024-03-06,7737.49,Failed
950228,900228,2024-12-11,942.5,
950229,900229,2025-01-16,7072.67,pending
950230,900230,2024-02-24,3110.65,Pending
950231,900231,2024-03-23,4723.83,Failed
950232,900232,2025-10-08,2762.63,pending
950233,900233,2024-01-24,7266.86,
950234,900234,2024-12-12,7012.56,Processed
950235,900235,2025-09-01,5071.3,pending
950236,900236,2024-07-04,2024.07,
950237,900237,2024-09-29,3114.98,pending
950238,900238,2024-05-19,4657.7,
950239,900239,2025-01-24,8326.45,Processed
950240,900240,2025-08-29,1751.9,pending
950241,900241,2025-12-04,5969.08,Pending
950242,900242,2025-06-18,5327.1,processed
950243,900243,2025-12-30,8652.56,
950244,900244,2024-11-05,1772.98,Processed
950245,900245,2025-01-23,1082.2,Processed
950246,900246,2025-06-05,2379.57,pending
950247,900247,2025-04-21,3368.79,Pending
950248,900248,2025-05-22,2470.75,Failed
950249,900249,2024-05-28,909710.47,pending
950250,900250,2024-04-26,835.54,Failed
950251,900251,2024-05-25,2568.07,processed
950252,900252,2024-05-02,6522.34,processed
950253,900253,2025-07-29,27021.61,
950254,900254,2025-03-16,903.48,processed
950255,900255,2025-08-08,966.51,Pending
950256,900256,2025-11-12,624.0,processed
950257,900257,2024-07-27,2183.16,processed
950258,900258,2025-05-25,4656.82,pending
950259,900259,2024-07-29,12321.43,pending
950260,900260,2025-12-18,1043.78,
950261,900261,2025-01-27,11569.19,Failed
950262,900262,2024-05-29,1593.29,processed
950263,900263,2025-06-06,1492.23,pending
950264,900264,2025-12-22,1910.88,
950265,900265,2025-06-18,5129.51,Failed
950266,900266,2024-06-20,1317.13,Processed
950267,900267,2024-05-05,13686.59,pending
950268,900268,2025-02-26,15685.95,Processed
950269,900269,2025-06-29,21918.69,pending
950270,900270,2024-08-31,10282.01,
950271,900271,2024-07-06,1846.74,Pending
950272,900272,2025-12-02,1188.03,pending
950273,900273,2024-05-16,1462.29,pending
950274,900274,2024-04-19,3698.26,Pending
950275,900275,2025-08-20,7150.54,
950276,900276,2024-08-28,978.95,Failed
950277,900277,2025-07-04,3997.84,processed
950278,900278,2024-12-02,12142.13,pending
950279,900279,2024-06-30,617.05,Failed
950280,900280,2024-05-27,1836.51,processed
950281,900281,2025-09-24,8206.2,processed
950282,900282,2025-10-11,1353.06,
950283,900283,2025-07-19,3527.8,Failed
950284,900284,2024-11-29,1286.71,
950285,900285,2024-02-04,3632.95,Processed
950286,900286,2024-02-08,9581.18,processed
950287,900287,2024-10-05,3734.16,Processed
950288,900288,2024-04-05,3042.07,pending
950289,900289,2024-03-06,6262.16,Processed
950290,900290,2024-01-22,1407.26,pending
950291,900291,2024-12-07,21564.34,Failed
950292,900292,2025-10-06,242.87,processed
950293,900293,2024-10-29,1828.17,Processed
950294,900294,2024-05-21,674.48,Pending
950295,900295,2026-01-03,5734.37,processed
950296,900296,2025-11-07,1418267.41,
950297,900297,2025-05-17,1353.53,Failed
950298,900298,2024-01-21,17905.55,
950299,900299,2024-09-23,898.6,processed
950300,900300,2024-04-17,2515.64,Failed
950301,900301,2025-05-05,4179.34,Failed
950302,900302,2025-08-24,1353.59,Processed
950303,900303,2025-01-19,882.67,Failed
950304,900304,2024-02-20,2178.0,Processed
950305,900305,2024-06-07,5485.23,pending
950306,900306,2025-06-24,1788.69,Pending
950307,900307,2024-12-01,26806.37,Failed
950308,900308,2024-09-26,14174.21,processed
950309,900309,2024-03-16,4023.57,Pending
950310,900310,2025-07-03,1946.33,processed
950311,900311,2025-07-07,11830.67,Pending
950312,900312,2025-07-18,10585.04,processed
950313,900313,2024-06-22,0.0,Processed
950314,900314,2024-08-17,2186.46,processed
950315,900315,2024-07-29,5201.19,Processed
950316,900316,2024-03-17,6753.57,pending
950317,900317,2025-03-16,14882.05,Failed
950318,900318,2025-07-30,30171.42,Processed
950319,900319,2026-01-18,1982.16,Processed
950320,900320,2025-08-20,5792.6,pending
950321,900321,2025-09-10,9183.59,Pending
950322,900322,2024-11-19,1658.22,Processed
950323,900323,2025-02-06,2304.46,Processed
950324,900324,2024-06-26,1150.87,Failed
950325,900325,2024-10-13,10479.63,
950326,900326,2024-05-12,733187.19,Failed
950327,900327,2025-09-20,3223.2,
950328,900328,2024-08-09,2383.47,pending
950329,900329,2024-09-07,0.0,pending
950330,900330,2025-01-22,9473.05,Processed
950331,900331,2025-04-17,2064.63,
950332,900332,2024-09-15,10475.46,Failed
950333,900333,2024-11-15,493.53,
950334,900334,2024-05-25,1411.58,Pending
950335,900335,2025-06-26,14313.08,processed
950336,900336,2024-11-17,4610.03,Failed
950337,900337,2025-08-13,0.0,
950338,900338,2024-08-16,1977.88,Failed
950339,900339,2025-04-10,1276.31,Failed
950340,900340,2024-03-19,5155.04,Pending
950341,900341,2025-01-26,2607.5,Failed
950342,900342,2025-08-07,5700.6,Failed
950343,900343,2025-05-27,341.72,
950344,900344,2024-05-30,15200.06,pending
950345,900345,2025-11-16,1875.2,processed
950346,900346,2025-04-06,3816.66,
950347,900347,2025-06-15,1702.19,Processed
950348,900348,2024-03-09,7406.18,Processed
950349,900349,2024-05-22,2871.72,Failed
950350,900350,2025-09-02,1880.49,Processed
950351,900351,2025-11-12,1585.85,Failed
950352,900352,2024-03-08,1099.9,pending
950353,900353,2024-10-26,19252.8,Failed
950354,900354,2025-05-21,2213.79,
950355,900355,2025-07-17,61687.58,Failed
950356,900356,2025-11-17,1886.67,pending
950357,900357,2024-05-28,3946.85,pending
950358,900358,2025-08-26,2178.85,Failed
950359,900359,2025-11-05,1042.97,pending
950360,900360,2025-09-18,7902.09,pending
950361,900361,2024-04-02,3711.73,
950362,900362,2024-02-20,1914.95,processed
950363,900363,2024-03-30,3569.01,Failed
950364,900364,2025-04-18,1646.31,pending
950365,900365,2024-11-08,14732.32,
950366,900366,2025-07-07,2282.35,pending
950367,900367,2025-02-03,747.29,Failed
950368,900368,2025-06-13,6054.76,
950369,900369,2024-03-06,1370.37,Processed
950370,900370,2025-12-21,5517.56,Pending
950371,900371,2024-06-04,788.01,
950372,900372,2025-12-07,469.74,Pending
950373,900373,2025-01-07,1026.13,Processed
950374,900374,2025-08-24,4673.87,Processed
950375,900375,2025-06-15,8109.93,processed
950376,900376,2026-01-10,3978.62,Processed
950377,900377,2024-02-25,11248.93,processed
950378,900378,2025-07-14,4439.21,Processed
950379,900379,2024-01-18,22070.72,Failed
950380,900380,2025-09-22,7453.92,
950381,900381,2024-05-31,1925.16,pending
950382,900382,2024-02-24,2202.6,Pending
950383,900383,2025-11-26,2200.9,Pending
950384,900384,2025-03-16,5566.37,Processed
950385,900385,2024-10-30,5301.17,Processed
950386,900386,2025-04-20,4723.28,Pending
950387,900387,2025-12-21,3757.14,Pending
950388,900388,2025-09-29,1367.1,processed
950389,900389,2025-11-21,0.0,processed
950390,900390,2024-10-17,21255.94,
950391,900391,2025-01-11,2305.8,Processed
950392,900392,2025-09-09,1800.2,Failed
950393,900393,2024-05-05,2975.47,Pending
950394,900394,2025-09-15,1550.71,
950395,900395,2025-06-05,7500.15,
950396,900396,2024-01-27,16251.81,pending
950397,900397,2025-03-26,3171.51,Processed
950398,900398,2025-01-09,2725.47,Pending
950399,900399,2024-07-29,496.88,pending
950400,900400,2025-05-22,12035.86,
950401,900401,2024-01-21,709.49,
950402,900402,2024-08-03,9279.79,processed
950403,900403,2024-02-09,4176.92,Pending
950404,900404,2025-03-10,542.87,Pending
950405,900405,2025-05-07,5092.27,processed
950406,900406,2024-04-30,5064.75,pending
950407,900407,2024-02-10,7214.08,
950408,900408,2025-12-12,10027.45,Pending
950409,900409,2024-07-27,3047.35,pending
950410,900410,2025-11-10,1599.05,Pending
950411,900411,2025-07-22,2992.97,Processed
950412,900412,2024-04-13,4997.0,pending
950413,900413,2024-06-29,0.0,processed
950414,900414,2025-04-16,707.35,Pending
950415,900415,2024-04-11,13085.02,processed
950416,900416,2025-05-31,1069.58,
950417,900417,2024-02-01,3763.56,Pending
950418,900418,2025-03-28,12697.55,pending
950419,900419,2025-08-05,7827.38,Processed
950420,900420,2024-08-05,3453.53,Failed
950421,900421,2025-02-27,1913.41,Processed
950422,900422,2025-10-25,4438.24,
950423,900423,2025-12-25,2829.6,processed
950424,900424,2024-12-17,5231.79,pending
950425,900425,2024-05-01,7023.34,Processed
950426,900426,2024-10-01,1188.01,
950427,900427,2025-09-17,11463.57,Pending
950428,900428,2025-10-03,14898.11,
950429,900429,2025-10-06,2043.14,Failed
950430,900430,2024-10-22,3389.06,processed
950431,900431,2025-05-18,0.0,Failed
950432,900432,2024-09-09,2252.96,
950433,900433,2024-06-03,1108.74,Processed
950434,900434,2024-09-01,2424.8,
950435,900435,2024-03-28,5991.03,
950436,900436,2025-08-21,619.29,
950437,900437,2024-05-15,0.0,Pending
950438,900438,2024-06-27,6522.93,Failed
950439,900439,2025-12-15,1995.56,Pending
950440,900440,2024-02-03,6504.29,Processed
950441,900441,2025-01-05,3757.87,Pending
950442,900442,2025-07-25,3212.31,pending
950443,900443,2025-08-21,8316.65,Pending
950444,900444,2024-04-26,916.25,
950445,900445,2025-12-16,11861.33,Processed
950446,900446,2025-05-05,6390.05,
950447,900447,2025-11-16,7521.74,Processed
950448,900448,2024-11-01,887.19,
950449,900449,2024-03-18,9155.22,processed
950450,900450,2025-06-13,4662.05,processed
950451,900451,2024-05-28,7251.86,Pending
950452,900452,2024-09-28,3635.6,pending
950453,900453,2024-06-21,2015.82,Processed
950454,900454,2025-12-20,1356.42,
950455,900455,2024-03-27,0.0,processed
950456,900456,2025-06-03,7408.93,Pending
950457,900457,2024-07-12,2520.26,Failed
950458,900458,2025-07-07,4013.22,Processed
950459,900459,2024-09-12,45335.75,Processed
950460,900460,2025-10-26,0.0,Processed
950461,900461,2024-12-15,4334.84,Failed
950462,900462,2025-08-14,4006.73,
950463,900463,2024-04-28,1210666.38,
950464,900464,2024-03-29,757.9,Failed
950465,900465,2025-01-15,6959.53,pending
950466,900466,2024-07-14,635.2,Processed
950467,900467,2025-09-28,1718.02,processed
950468,900468,2026-01-11,1816.91,pending
950469,900469,2024-08-24,17015.19,
950470,900470,2025-06-06,377.89,
950471,900471,2024-06-18,3587.83,
950472,900472,2024-02-07,340.53,Pending
950473,900473,2024-01-26,514.5,Failed
950474,900474,2025-07-12,6907.24,
950475,900475,2025-11-03,3669.78,Processed
950476,900476,2024-03-28,0.0,Pending
950477,900477,2025-04-02,2160.64,Pending
950478,900478,2025-06-17,2730.98,Processed
950479,900479,2025-12-17,1651.35,Pending
950480,900480,2025-08-30,4775.48,Processed
950481,900481,2025-06-23,7358.7,Pending
950482,900482,2024-05-14,6246.92,
950483,900483,2025-05-19,3601.27,Failed
950484,900484,2024-10-12,7255.18,Pending
950485,900485,2024-02-19,5303.17,pending
950486,900486,2024-11-27,39533.29,Pending
950487,900487,2025-01-16,1520.06,Processed
950488,900488,2025-03-28,6700.46,Failed
950489,900489,2025-08-12,3805.67,Failed
950490,900490,2025-05-26,7342.36,Failed
950491,900491,2025-12-10,18343.01,pending
950492,900492,2024-01-23,2743.44,Processed
950493,900493,2025-07-28,4894.12,processed
950494,900494,2025-11-17,5640.75,processed
950495,900495,2025-05-09,1317.68,Pending
950496,900496,2025-01-11,4910.77,Failed
950497,900497,2024-04-14,2861.6,Failed
950498,900498,2025-01-23,7356.24,pending
950499,900499,2024-06-25,5602.31,Processed
950500,900500,2025-09-15,5735.44,
950501,900501,2026-01-15,415.33,Processed
950502,900502,2025-08-15,17761.98,pending
950503,900503,2025-11-05,26144.67,Pending
950504,900504,2024-10-25,6258.97,
950505,900505,2025-06-03,1327.83,Failed
950506,900506,2025-06-12,3038.65,Pending
950507,900507,2024-03-04,4949.34,
950508,900508,2024-11-01,15738.61,processed
950509,900509,2025-05-05,3960.94,pending
950510,900510,2025-10-26,457.12,Pending
950511,900511,2025-09-07,14762.51,processed
950512,900512,2024-03-19,2376.14,Pending
950513,900513,2025-11-22,2665.53,processed
950514,900514,2025-04-10,1599.88,Pending
950515,900515,2025-06-02,875.73,Processed
950516,900516,2025-03-29,4535.42,Pending
950517,900517,2025-06-04,-500.0,
950518,900518,2025-05-21,10766.0,Pending
950519,900519,2025-06-13,16384.11,
950520,900520,2024-08-28,4546.48,pending
950521,900521,2024-01-09,9344.44,
950522,900522,2024-03-06,4255.17,Processed
950523,900523,2025-12-11,822.81,processed
950524,900524,2025-09-16,2523.18,Failed
950525,900525,2024-05-16,-100.0,
950526,900526,2024-10-14,2323.52,Failed
950527,900527,2024-03-09,11149.89,pending
950528,900528,2024-09-23,1817.03,
950529,900529,2024-02-24,1130.08,Pending
950530,900530,2025-06-24,2365.37,processed
950531,900531,2025-03-25,23287.84,processed
950532,900532,2024-12-05,2051.34,pending
950533,900533,2025-12-17,8205.17,Pending
950534,900534,2025-05-15,16363.18,Pending
950535,900535,2025-10-20,3123.8,pending
950536,900536,2025-05-15,661.46,
950537,900537,2025-01-06,33295.39,Processed
950538,900538,2025-03-07,25217.52,pending
950539,900539,2024-03-05,10676.28,pending
950540,900540,2024-06-19,6424.07,Pending
950541,900541,2025-11-30,16666.85,pending
950542,900542,2025-07-17,3737.07,
950543,900543,2025-09-28,8881.91,Failed
950544,900544,2025-01-16,1273.11,Pending
950545,900545,2024-06-03,14454.0,
950546,900546,2024-07-19,5587.56,pending
950547,900547,2024-02-25,342.14,processed
950548,900548,2024-10-11,13847.76,Processed
950549,900549,2025-06-20,15377.1,Processed
950550,900550,2025-02-10,1244.96,
950551,900551,2025-09-11,3247.06,Failed
950552,900552,2025-03-29,18684.93,Pending
950553,900553,2024-09-09,1451.44,Failed
950554,900554,2024-08-04,5990.52,
950555,900555,2025-02-13,6141.3,pending
950556,900556,2025-07-06,965.25,Failed
950557,900557,2025-11-13,1023.4,Processed
950558,900558,2025-02-13,2303.01,
950559,900559,2025-06-25,12295.01,Pending
950560,900560,2024-12-30,4185.56,processed
950561,900561,2025-06-09,3317.23,
950562,900562,2025-07-26,1890.46,Processed
950563,900563,2025-09-01,1113.38,
950564,900564,2025-06-14,5510.28,pending
950565,900565,2025-04-30,21749.02,Pending
950566,900566,2024-08-21,4907.31,Processed
950567,900567,2026-01-01,10197.07,Processed
950568,900568,2024-04-22,12041.63,Failed
950569,900569,2025-11-11,5060.29,Pending
950570,900570,2024-06-22,1140.79,Failed
950571,900571,2025-09-07,2185.54,pending
950572,900572,2025-06-19,500000.0,
950573,900573,2024-09-04,0.0,pending
950574,900574,2025-04-24,31166.03,Processed
950575,900575,2025-10-24,5054.73,
950576,900576,2025-09-02,11330.4,Processed
950577,900577,2025-11-07,2329.64,
950578,900578,2024-07-23,0.0,Failed
950579,900579,2024-09-10,999999.0,pending
950580,900580,2025-01-09,3645.5,Processed
950581,900581,2024-10-12,3304.59,
950582,900582,2025-09-14,3795.8,
950583,900583,2025-11-01,7724.13,pending
950584,900584,2025-08-17,0.0,processed
950585,900585,2025-08-10,6340.14,Pending
950586,900586,2024-02-16,3368.68,Failed
950587,900587,2024-10-15,0.0,pending
950588,900588,2025-06-10,549.71,Processed
950589,900589,2025-08-22,8767.9,pending
950590,900590,2025-05-10,3172.64,
950591,900591,2025-07-28,0.0,Pending
950592,900592,2024-07-28,2686.69,Pending
950593,900593,2025-01-02,17482.7,pending
950594,900594,2025-07-19,3199.51,processed
950595,900595,2024-01-21,3629.13,Pending
950596,900596,2025-04-19,1807.6,Failed
950597,900597,2024-05-22,1440.29,Pending
950598,900598,2025-02-28,148.31,Processed
950599,900599,2024-11-12,10484.59,
950600,900600,2024-09-20,1086.23,Failed
950601,900601,2025-01-30,11151.05,pending
950602,900602,2025-06-30,1062.47,Pending
950603,900603,2024-08-23,3860.1,processed
950604,900604,2024-08-20,10634.78,pending
950605,900605,2025-05-13,2538.41,Pending
950606,900606,2025-12-29,2510.66,Pending
950607,900607,2024-12-13,1836.97,pending
950608,900608,2025-06-01,1115.38,Processed
950609,900609,2025-02-10,2682.22,pending
950610,900610,2024-02-25,2900.74,Failed
950611,900611,2025-12-14,4688.38,processed
950612,900612,2024-03-12,0.0,Processed
950613,900613,2024-03-28,10327.65,processed
950614,900614,2024-08-09,9967.11,Pending
950615,900615,2025-11-15,2543.78,processed
950616,900616,2024-07-23,30756.65,
950617,900617,2025-01-01,917.41,Failed
950618,900618,2025-08-13,10234.85,Processed
950619,900619,2025-10-19,1005.35,pending
950620,900620,2024-10-22,9921.41,
950621,900621,2025-09-21,-500.0,Processed
950622,900622,2024-02-08,3845.11,
950623,900623,2024-05-03,4635.6,
950624,900624,2024-10-11,8316.54,Processed
950625,900625,2025-06-12,1030.35,pending
950626,900626,2024-03-09,1008.79,Failed
950627,900627,2024-02-12,468.77,Failed
950628,900628,2025-04-20,514.74,pending
950629,900629,2024-03-03,3722.85,Processed
950630,900630,2024-11-02,1073.85,processed
950631,900631,2025-12-07,2839.99,processed
950632,900632,2024-01-08,3733.29,pending
950633,900633,2024-03-21,546.92,pending
950634,900634,2025-07-25,425.23,Failed
950635,900635,2024-05-25,1511.12,Failed
950636,900636,2025-02-22,731.28,Failed
950637,900637,2025-06-06,-100.0,processed
950638,900638,2024-07-06,2030.1,processed
950639,900639,2024-03-31,1203.59,Pending
950640,900640,2025-08-10,12428.96,Pending
950641,900641,2024-08-06,1197.24,
950642,900642,2024-11-10,4485.69,Processed
950643,900643,2024-07-26,1099.07,
950644,900644,2025-05-21,0.0,pending
950645,900645,2025-09-14,945.89,pending
950646,900646,2024-11-01,6971.24,
950647,900647,2025-01-23,2401.85,Failed
950648,900648,2024-10-19,24002.22,Pending
950649,900649,2024-06-03,19126.55,Processed
950650,900650,2024-10-23,0.0,
950651,900651,2024-07-06,3972.36,pending
950652,900652,2024-09-25,-500.0,pending
950653,900653,2024-12-02,24182.58,Failed
950654,900654,2025-02-20,25353.69,Failed
950655,900655,2025-07-28,4429.17,Failed
950656,900656,2025-10-13,3989.79,Processed
950657,900657,2024-02-15,2642.22,Failed
950658,900658,2025-03-19,8094.43,Pending
950659,900659,2025-06-27,1259.98,Failed
950660,900660,2024-09-01,581.02,pending
950661,900661,2024-09-05,5053.73,Failed
950662,900662,2025-10-06,1110.07,Failed
