Return_ID,Order_ID,Return_Date,Return_Reason,Return_Status,Refund_Method,Refund_Amount
900040,716212,2025-11-12,Duplicate Order,Approved,Original Payment,9122.72
900041,712931,2025-08-04,Damaged,Rejected,Original Payment,1554.37
900042,714288,2024-10-25,Wrong Item,Completed,UPI,6720.42
900043,701625,2024-05-01,Size Issue,Completed,Bank Transfer,5799.9
900044,702117,2024-04-12,,approved,Store Credit,3014.55
900045,708346,2024-07-16,Damaged,Requested,original payment,5226.62
900046,711685,2024-07-07,Late Delivery,approved,Store Credit,0.0
900047,713212,2025-08-29,Size Issue,approved,UPI,7326.98
900048,711796,2024-09-04,Late Delivery,Rejected,Original Payment,3786.85
900049,716862,2024-06-08,Not as Expected,Approved,Bank Transfer,11185.08
900050,705475,2024-10-23,Late Delivery,Requested,original payment,10961.48
900051,719035,2024-01-18,Quality Issue,Approved,UPI,16130.78
900052,716430,2024-01-26,Wrong Item,,original payment,2284.63
900053,706470,2024-11-01,damaged,Requested,original payment,1310.92
900054,713299,2024-08-16,Late Delivery,,Original Payment,4330.93
900055,706434,2025-09-26,Damaged,Approved,Original Payment,7484.12
900056,715868,2025-06-23,Duplicate Order,approved,original payment,2741.06
900057,714393,2024-02-07,Duplicate Order,Completed,,373.57
900058,711984,2024-11-22,Damaged,Approved,UPI,1755.62
900059,708653,2024-07-14,damaged,requested,Bank Transfer,10295.33
900060,702971,2025-04-06,Wrong Item,Approved,Original Payment,4080.63
900061,709347,2025-12-05,,Completed,original payment,20369.93
900062,708725,2025-01-13,Size Issue,requested,,5530.19
900063,705632,2024-06-16,Duplicate Order,requested,,958.62
900064,706833,2025-05-27,size issue,,original payment,443.08
900065,704949,2025-04-18,Late Delivery,Approved,original payment,414.86
900066,701165,2025-12-05,Not as Expected,Rejected,,1131.1
900067,700061,2024-01-06,,requested,original payment,324.79
900068,712733,2025-04-08,Not as Expected,Requested,Original Payment,793.04
900069,704625,2024-08-16,Duplicate Order,approved,Store Credit,1210.12
900070,707328,2024-11-20,Late Delivery,,Original Payment,679.86
900071,704032,2025-01-12,,requested,Bank Transfer,558019.06
900072,715307,2025-02-20,Quality Issue,,,2291.66
900073,713917,2024-09-25,Duplicate Order,Requested,Store Credit,3253.77
900074,704172,2025-07-25,damaged,Requested,Original Payment,4315.06
900075,707983,2024-06-30,size issue,approved,,2296.2
900076,717743,2025-10-11,Wrong Item,Requested,Store Credit,7434.05
900077,708294,2025-09-12,Damaged,Rejected,Store Credit,25536.52
900078,701812,2025-06-30,Changed Mind,,Original Payment,5183.4
900079,702189,2025-04-30,Damaged,Completed,original payment,2466.68
900080,700378,2024-07-14,damaged,approved,original payment,773.26
900081,701690,2025-05-16,Damaged,Rejected,Bank Transfer,3330.93
900082,715886,2025-03-08,,Rejected,Original Payment,10792.43
900083,700936,2025-01-08,Not as Expected,Approved,original payment,2365.28
900084,700268,2024-10-26,Size Issue,Completed,original payment,2776.7
900085,702831,2024-05-22,Damaged,Completed,original payment,1801.12
900086,714646,2025-04-26,Size Issue,approved,,1991.75
900087,712870,2024-02-20,Not as Expected,approved,UPI,1461.06
900088,706474,2024-12-12,Damaged,approved,Original Payment,3704.66
900089,704960,2025-06-20,Late Delivery,,Store Credit,588.31
900090,703108,2025-10-15,damaged,approved,Store Credit,2366.79
900091,711618,2025-07-30,Late Delivery,Approved,original payment,10022.01
900092,710967,2024-03-22,Late Delivery,requested,Bank Transfer,2673.73
900093,710391,2024-09-16,damaged,,Bank Transfer,1071.43
900094,714039,2025-11-18,Duplicate Order,Approved,UPI,902.55
900095,708905,2025-04-22,,approved,Store Credit,0.0
900096,716181,2025-07-27,Damaged,Approved,original payment,3219.38
900097,708101,2025-03-11,Duplicate Order,,original payment,3247.89
900098,700989,2024-11-11,Damaged,Approved,Original Payment,4191.18
900099,703682,2025-03-29,Wrong Item,approved,Store Credit,2211.86
900100,704276,2024-07-15,Quality Issue,Completed,Original Payment,26738.5
900101,716441,2025-10-06,Duplicate Order,approved,UPI,5450.15
900102,713670,2024-12-13,Duplicate Order,Completed,Bank Transfer,1976.06
900103,716894,2024-09-15,Damaged,Approved,,2104.67
900104,704359,2025-02-25,Size Issue,approved,Original Payment,4047.61
900105,710082,2024-11-06,Damaged,approved,,2653.26
900106,709527,2025-06-05,Not as Expected,Rejected,Store Credit,12195.26
900107,705538,2025-05-29,Damaged,Rejected,UPI,4597.84
900108,702761,2026-01-02,Damaged,Completed,Store Credit,1632.98
900109,703428,2025-07-11,Late Delivery,Approved,Original Payment,4353.26
900110,708313,2024-05-14,Size Issue,Approved,Original Payment,4131.84
900111,708843,2025-08-29,Changed Mind,Requested,original payment,19087.37
900112,716955,2025-07-19,Wrong Item,requested,UPI,4187.54
900113,716437,2024-03-08,damaged,Requested,Store Credit,1712.49
900114,700162,2025-10-18,Wrong Item,approved,,9221.53
900115,700888,2025-11-27,damaged,Requested,UPI,1354.18
900116,706620,2025-05-27,,requested,Bank Transfer,699.65
900117,708430,2025-11-17,Late Delivery,,Original Payment,12608.48
900118,700879,2024-06-04,Quality Issue,Completed,Bank Transfer,3424.45
900119,706096,2026-01-02,Wrong Item,Requested,Original Payment,1052.83
900120,703301,2025-07-29,Quality Issue,Completed,,5870.38
900121,707013,2025-06-19,damaged,requested,Original Payment,12888.07
900122,719813,2025-05-31,Changed Mind,Requested,original payment,3439.38
900123,712967,2025-03-06,Quality Issue,Completed,,3283.36
900124,715656,2025-01-02,Not as Expected,approved,Store Credit,17495.45
900125,710212,2024-05-02,Late Delivery,requested,Original Payment,876.47
900126,717719,2025-05-18,Late Delivery,requested,,16975.65
900127,716191,2024-07-09,Duplicate Order,Requested,Store Credit,8016.12
900128,708070,2024-09-24,Quality Issue,approved,Store Credit,2112.1
900129,710025,2024-08-15,Duplicate Order,,Original Payment,21005.71
900130,711857,2024-12-28,Not as Expected,Approved,Original Payment,12081.42
900131,708491,2025-12-04,Not as Expected,Completed,Store Credit,25535.89
900132,707320,2025-09-24,Changed Mind,Rejected,Original Payment,3016.2
900133,709759,2024-07-05,damaged,Completed,UPI,11893.68
900134,718455,2025-07-14,Changed Mind,,UPI,3773.68
900135,704083,2024-05-08,,Rejected,Original Payment,6602.63
900136,703778,2025-02-19,Damaged,requested,Original Payment,6253.94
900137,715290,2024-02-07,Wrong Item,Approved,Store Credit,273.94
900138,713051,2024-08-03,Size Issue,requested,,472.86
900139,719842,2025-12-20,Damaged,requested,Store Credit,2258.1
900140,714477,2024-12-06,damaged,Completed,Bank Transfer,701.68
900141,702950,2025-07-23,Quality Issue,approved,UPI,1038.72
900142,710569,2025-12-04,Duplicate Order,Requested,UPI,1243.35
900143,700668,2025-02-11,size issue,Completed,original payment,10317.64
900144,701948,2025-12-14,Not as Expected,approved,Store Credit,18407.13
900145,707902,2025-10-20,Not as Expected,Approved,Store Credit,1811.67
900146,718170,2025-08-14,damaged,approved,,385.66
900147,702671,2025-03-21,Changed Mind,Rejected,Bank Transfer,7145.61
900148,719469,2024-12-14,Damaged,requested,Bank Transfer,1066.06
900149,700344,2024-10-15,damaged,,original payment,1750.77
900150,719064,2025-07-25,Not as Expected,Approved,Store Credit,695.4
900151,709582,2024-12-13,Damaged,approved,Original Payment,3684.96
900152,701274,2025-09-12,Duplicate Order,Requested,Bank Transfer,2053.58
900153,704834,2024-07-09,,Requested,original payment,39038.71
900154,709791,2026-01-14,Changed Mind,Approved,Bank Transfer,3765311.96
900155,711244,2024-01-27,,approved,Original Payment,4122.23
900156,708643,2024-03-06,damaged,approved,Bank Transfer,49153.91
900157,705156,2024-06-05,Quality Issue,Approved,Store Credit,9610.76
900158,712516,2026-01-13,size issue,Rejected,,21944.67
900159,707091,2024-04-05,,requested,,4608.11
900160,705821,2024-05-15,Wrong Item,Requested,,5183.06
900161,713729,2025-05-13,,Approved,Original Payment,3761.68
900162,700009,2025-06-02,Changed Mind,approved,,1031.75
900163,719880,2024-10-30,Late Delivery,requested,Store Credit,4749.15
900164,715982,2025-12-12,Duplicate Order,,Original Payment,4753.97
900165,702375,2025-07-09,size issue,requested,,819.71
900166,715328,2024-09-10,size issue,Approved,,4520.92
900167,714866,2024-10-26,Quality Issue,Rejected,Original Payment,4185.51
900168,703832,2024-06-08,Damaged,Requested,original payment,9304.75
900169,716026,2024-09-10,Damaged,requested,Store Credit,9277.28
900170,719449,2024-05-13,Changed Mind,approved,,234.36
900171,709821,2024-06-04,Changed Mind,Approved,,27463.58
900172,713026,2024-10-03,,approved,,2473.06
900173,704047,2025-09-08,damaged,approved,Bank Transfer,4990.37
900174,708654,2025-10-06,Late Delivery,Approved,original payment,10840.43
900175,708424,2024-07-10,Changed Mind,Requested,Bank Transfer,3922.16
900176,712411,2025-10-13,Late Delivery,Rejected,,28142.28
900177,706513,2024-04-04,Wrong Item,Requested,,5268.61
900178,715564,2025-05-02,Late Delivery,Rejected,original payment,2677.61
900179,707723,2025-05-08,,requested,Original Payment,4170.16
900180,702775,2025-08-20,Not as Expected,Rejected,Original Payment,324.7
900181,717033,2025-07-16,damaged,Requested,,731.37
900182,712027,2025-11-10,Damaged,Completed,UPI,1404.43
900183,718373,2025-09-24,size issue,Rejected,Bank Transfer,1757.13
900184,700356,2024-06-05,Changed Mind,Approved,UPI,10186.73
900185,702629,2024-08-21,Quality Issue,approved,Original Payment,1293.92
900186,706449,2025-02-03,Late Delivery,Approved,UPI,4701.11
900187,719333,2025-04-18,Wrong Item,Approved,original payment,9115.93
900188,717677,2025-07-17,Changed Mind,approved,Original Payment,633.11
900189,716234,2025-09-15,,Requested,Original Payment,3336.94
900190,708883,2024-10-19,,Rejected,,871.52
900191,703966,2024-07-30,Size Issue,,UPI,2347.77
900192,715529,2025-07-21,Quality Issue,,original payment,1152.78
900193,708572,2024-04-04,damaged,approved,UPI,6596.23
900194,712013,2024-04-21,size issue,Completed,Bank Transfer,315.23
900195,708414,2025-01-25,Duplicate Order,,original payment,3590.76
900196,712783,2025-03-26,Damaged,,Original Payment,27055.16
900197,719533,2024-12-02,Size Issue,Completed,,7954.67
900198,715838,2024-09-22,Changed Mind,approved,original payment,14691.39
900199,712160,2024-07-19,Wrong Item,Requested,UPI,2443.66
900200,719272,2025-04-08,Duplicate Order,approved,Store Credit,50676.1
900201,716052,2026-01-02,size issue,requested,Store Credit,1578.08
900202,711612,2024-12-18,size issue,requested,Store Credit,28293.43
900203,700080,2025-08-12,Late Delivery,Completed,Original Payment,1988.57
900204,712825,2025-10-12,Duplicate Order,approved,Store Credit,1336.22
900205,707641,2024-12-21,damaged,Rejected,Store Credit,2665.31
900206,713064,2024-10-10,Late Delivery,approved,,9211.13
900207,719884,2024-08-20,Size Issue,Completed,,5299.7
900208,709415,2024-06-02,damaged,Requested,,836.54
900209,707066,2025-04-22,,Rejected,original payment,1459.47
900210,707625,2024-02-22,Wrong Item,,Store Credit,3906.97
900211,701699,2024-07-18,size issue,Completed,UPI,3881.39
900212,719380,2024-07-08,Quality Issue,Approved,UPI,4625.73
900213,703537,2025-09-03,Late Delivery,Rejected,Original Payment,9892.11
900214,700462,2025-03-21,Quality Issue,approved,,1475.88
900215,702436,2025-02-08,Duplicate Order,Completed,UPI,804.52
900216,711908,2024-10-19,,Requested,,2153.27
900217,718879,2025-02-25,,approved,Original Payment,0.0
900218,711015,2025-05-07,Size Issue,approved,UPI,4864.82
900219,712698,2024-04-18,Duplicate Order,Completed,original payment,0.0
900220,704544,2025-06-10,size issue,requested,original payment,14394.9
900221,708137,2026-01-16,damaged,Completed,Original Payment,818.95
900222,704847,2024-09-16,,,Bank Transfer,764.92
900223,711660,2025-02-21,Duplicate Order,Rejected,original payment,5826.19
900224,705614,2025-08-19,Damaged,Completed,Store Credit,2546.12
900225,715295,2024-06-26,Late Delivery,Requested,Bank Transfer,9927.16
900226,711065,2024-05-28,Not as Expected,Approved,Store Credit,3987.03
900227,716591,2024-03-06,,approved,UPI,7737.49
900228,705491,2024-12-11,Changed Mind,approved,UPI,942.5
900229,718845,2025-01-16,Damaged,Rejected,original payment,7072.67
900230,709408,2024-02-24,Damaged,,UPI,3110.65
900231,706253,2024-03-23,size issue,Requested,,4723.83
900232,702236,2025-10-08,Damaged,Rejected,UPI,2762.63
900233,705758,2024-01-24,,,UPI,7266.86
900234,708592,2024-12-12,Late Delivery,requested,original payment,7012.56
900235,714717,2025-09-01,Changed Mind,Approved,original payment,5071.3
900236,702987,2024-07-04,Size Issue,Requested,original payment,2024.07
900237,706797,2024-09-29,,Approved,UPI,3114.98
900238,709150,2024-05-19,Quality Issue,,original payment,4657.7
900239,700924,2025-01-24,damaged,Rejected,Original Payment,8326.45
900240,714725,2025-08-29,Duplicate Order,Rejected,original payment,1751.9
900241,713902,2025-12-04,Duplicate Order,Completed,,5969.08
900242,703982,2025-06-18,Late Delivery,approved,,5327.1
900243,704314,2025-12-30,Not as Expected,requested,,8652.56
900244,709455,2024-11-05,Late Delivery,Requested,Bank Transfer,1772.98
900245,714326,2025-01-23,Changed Mind,Requested,UPI,1082.2
900246,704022,2025-06-05,damaged,,UPI,2379.57
900247,718035,2025-04-21,Late Delivery,Requested,Bank Transfer,3368.79
900248,706999,2025-05-22,Late Delivery,Rejected,original payment,2470.75
900249,706153,2024-05-28,size issue,Requested,Bank Transfer,909710.47
900250,717341,2024-04-26,Damaged,,Original Payment,835.54
900251,703983,2024-05-25,damaged,approved,Bank Transfer,2568.07
900252,700787,2024-05-02,Wrong Item,Completed,Bank Transfer,6522.34
900253,700684,2025-07-29,Quality Issue,Approved,Original Payment,27021.61
900254,706058,2025-03-16,Late Delivery,Approved,UPI,903.48
900255,708076,2025-08-08,Wrong Item,requested,original payment,966.51
900256,708206,2025-11-12,Late Delivery,requested,UPI,624.0
900257,705784,2024-07-27,Late Delivery,Rejected,Original Payment,2183.16
900258,706771,2025-05-25,Size Issue,requested,UPI,4656.82
900259,712074,2024-07-29,Duplicate Order,approved,Original Payment,12321.43
900260,710254,2025-12-18,,requested,original payment,1043.78
900261,710089,2025-01-27,damaged,Approved,UPI,11569.19
900262,708631,2024-05-29,Wrong Item,Rejected,Original Payment,1593.29
900263,713036,2025-06-06,Wrong Item,Completed,Store Credit,1492.23
900264,716947,2025-12-22,damaged,,original payment,1910.88
900265,704306,2025-06-18,Damaged,Requested,,5129.51
900266,700350,2024-06-20,Wrong Item,Requested,,1317.13
900267,719768,2024-05-05,Size Issue,Rejected,original payment,13686.59
900268,716383,2025-02-26,Damaged,,,15685.95
900269,705929,2025-06-29,Size Issue,Completed,Original Payment,21918.69
900270,718210,2024-08-31,,Completed,UPI,10282.01
900271,708299,2024-07-06,Damaged,requested,UPI,1846.74
900272,717834,2025-12-02,Quality Issue,requested,original payment,1188.03
900273,712364,2024-05-16,Wrong Item,approved,Store Credit,1462.29
900274,712511,2024-04-19,Changed Mind,requested,Original Payment,3698.26
900275,703840,2025-08-20,Late Delivery,,Store Credit,7150.54
900276,702268,2024-08-28,Late Delivery,,original payment,978.95
900277,709566,2025-07-04,size issue,,Store Credit,3997.84
900278,711478,2024-12-02,size issue,Approved,Original Payment,12142.13
900279,717703,2024-06-30,Not as Expected,Approved,UPI,617.05
900280,712703,2024-05-27,Damaged,,UPI,1836.51
900281,712147,2025-09-24,Not as Expected,Requested,original payment,8206.2
900282,718513,2025-10-11,Quality Issue,Completed,Bank Transfer,1353.06
900283,703583,2025-07-19,Damaged,,Store Credit,3527.8
900284,701826,2024-11-29,Not as Expected,Approved,UPI,1286.71
900285,714304,2024-02-04,Quality Issue,approved,Original Payment,3632.95
900286,712287,2024-02-08,Not as Expected,approved,,9581.18
900287,718527,2024-10-05,Late Delivery,Requested,original payment,3734.16
900288,703416,2024-04-05,size issue,Completed,UPI,3042.07
900289,706976,2024-03-06,Size Issue,approved,UPI,6262.16
900290,715774,2024-01-22,Late Delivery,Approved,Bank Transfer,1407.26
900291,711590,2024-12-07,Late Delivery,Requested,Store Credit,21564.34
900292,710858,2025-10-06,Changed Mind,Completed,UPI,242.87
900293,700332,2024-10-29,damaged,,Store Credit,1828.17
900294,700991,2024-05-21,size issue,approved,,674.48
900295,714237,2026-01-03,Not as Expected,Approved,UPI,5734.37
900296,711879,2025-11-07,size issue,approved,Original Payment,1418267.41
900297,718379,2025-05-17,Changed Mind,Approved,Original Payment,1353.53
900298,710955,2024-01-21,size issue,Requested,Store Credit,17905.55
900299,712542,2024-09-23,Quality Issue,Completed,Store Credit,898.6
900300,711341,2024-04-17,Not as Expected,Approved,UPI,2515.64
900301,703248,2025-05-05,Size Issue,requested,Original Payment,4179.34
900302,714856,2025-08-24,,Rejected,,1353.59
900303,714826,2025-01-19,Quality Issue,approved,original payment,882.67
900304,700443,2024-02-20,Not as Expected,requested,UPI,2178.0
900305,714593,2024-06-07,Size Issue,Approved,Bank Transfer,5485.23
900306,716547,2025-06-24,Changed Mind,Approved,Bank Transfer,1788.69
900307,704698,2024-12-01,Damaged,requested,,26806.37
900308,705221,2024-09-26,Size Issue,requested,UPI,14174.21
900309,702923,2024-03-16,Size Issue,Approved,Original Payment,4023.57
900310,703786,2025-07-03,size issue,requested,Bank Transfer,1946.33
900311,706890,2025-07-07,size issue,Approved,original payment,11830.67
900312,715951,2025-07-18,damaged,approved,UPI,10585.04
900313,705539,2024-06-22,,Rejected,Store Credit,0.0
900314,712298,2024-08-17,Not as Expected,requested,UPI,2186.46
900315,706302,2024-07-29,Size Issue,Completed,Original Payment,5201.19
900316,704007,2024-03-17,Changed Mind,requested,UPI,6753.57
900317,700291,2025-03-16,Duplicate Order,Approved,UPI,14882.05
900318,706533,2025-07-30,size issue,Rejected,original payment,30171.42
900319,716818,2026-01-18,Not as Expected,requested,Store Credit,1982.16
900320,701463,2025-08-20,,Approved,,5792.6
900321,705791,2025-09-10,Quality Issue,approved,Original Payment,9183.59
900322,713863,2024-11-19,Late Delivery,,Bank Transfer,1658.22
900323,718466,2025-02-06,damaged,,UPI,2304.46
900324,710758,2024-06-26,,Completed,Original Payment,1150.87
900325,713727,2024-10-13,Not as Expected,Requested,original payment,10479.63
900326,701638,2024-05-12,size issue,Approved,,733187.19
900327,719022,2025-09-20,Size Issue,,Original Payment,3223.2
900328,707362,2024-08-09,size issue,Approved,original payment,2383.47
900329,718744,2024-09-07,size issue,Rejected,,0.0
900330,718383,2025-01-22,Duplicate Order,Approved,,9473.05
900331,702793,2025-04-17,Damaged,Requested,UPI,2064.63
900332,701531,2024-09-15,Duplicate Order,requested,UPI,10475.46
900333,700466,2024-11-15,size issue,approved,original payment,493.53
900334,718132,2024-05-25,Changed Mind,Requested,original payment,1411.58
900335,711126,2025-06-26,,Requested,Original Payment,14313.08
900336,717782,2024-11-17,damaged,approved,Original Payment,4610.03
900337,716732,2025-08-13,Duplicate Order,requested,Original Payment,0.0
900338,701043,2024-08-16,Late Delivery,requested,UPI,1977.88
900339,701594,2025-04-10,Size Issue,Approved,Original Payment,1276.31
900340,706072,2024-03-19,Duplicate Order,approved,UPI,5155.04
900341,716837,2025-01-26,Duplicate Order,approved,Bank Transfer,2607.5
900342,713651,2025-08-07,Damaged,Completed,Bank Transfer,5700.6
900343,713775,2025-05-27,Duplicate Order,,,341.72
900344,719444,2024-05-30,Changed Mind,Requested,Bank Transfer,15200.06
900345,711166,2025-11-16,size issue,Approved,Store Credit,1875.2
900346,719030,2025-04-06,size issue,Approved,original payment,3816.66
900347,718434,2025-06-15,Quality Issue,Rejected,Bank Transfer,1702.19
900348,704641,2024-03-09,Changed Mind,Requested,UPI,7406.18
900349,718510,2024-05-22,Quality Issue,Approved,Store Credit,2871.72
900350,714987,2025-09-02,Quality Issue,,Bank Transfer,1880.49
900351,708245,2025-11-12,Not as Expected,requested,Bank Transfer,1585.85
900352,717563,2024-03-08,,Approved,Original Payment,1099.9
900353,700141,2024-10-26,Not as Expected,Completed,,19252.8
900354,704349,2025-05-21,Quality Issue,approved,Store Credit,2213.79
900355,708267,2025-07-17,Not as Expected,,Original Payment,61687.58
900356,717182,2025-11-17,size issue,requested,Store Credit,1886.67
900357,705705,2024-05-28,Not as Expected,approved,original payment,3946.85
900358,717781,2025-08-26,Not as Expected,Requested,UPI,2178.85
900359,714706,2025-11-05,Late Delivery,approved,Original Payment,1042.97
900360,702159,2025-09-18,,Completed,UPI,7902.09
900361,709696,2024-04-02,size issue,Requested,original payment,3711.73
900362,702460,2024-02-20,Size Issue,Completed,Store Credit,1914.95
900363,709113,2024-03-30,damaged,approved,original payment,3569.01
900364,714873,2025-04-18,Late Delivery,Rejected,,1646.31
900365,702766,2024-11-08,Size Issue,Completed,Bank Transfer,14732.32
900366,702014,2025-07-07,Wrong Item,approved,Store Credit,2282.35
900367,705762,2025-02-03,Not as Expected,Rejected,,747.29
900368,712484,2025-06-13,Changed Mind,Completed,Original Payment,6054.76
900369,700890,2024-03-06,,Approved,,1370.37
900370,700156,2025-12-21,Size Issue,requested,UPI,5517.56
900371,711672,2024-06-04,Changed Mind,Approved,,788.01
900372,705862,2025-12-07,Not as Expected,Rejected,Original Payment,469.74
900373,712646,2025-01-07,Wrong Item,requested,Original Payment,1026.13
900374,706064,2025-08-24,damaged,Approved,UPI,4673.87
900375,715208,2025-06-15,Damaged,requested,Store Credit,8109.93
900376,706590,2026-01-10,Duplicate Order,,Store Credit,3978.62
900377,700447,2024-02-25,Wrong Item,Requested,original payment,11248.93
900378,709268,2025-07-14,Late Delivery,Completed,,4439.21
900379,708453,2024-01-18,,Completed,Store Credit,22070.72
900380,714875,2025-09-22,Size Issue,Rejected,original payment,7453.92
900381,703916,2024-05-31,,,,1925.16
900382,714892,2024-02-24,,Completed,original payment,2202.6
900383,704714,2025-11-26,Duplicate Order,Rejected,UPI,2200.9
900384,715332,2025-03-16,,Requested,Bank Transfer,5566.37
900385,701273,2024-10-30,Size Issue,approved,Store Credit,5301.17
900386,713392,2025-04-20,Quality Issue,requested,Original Payment,4723.28
900387,711593,2025-12-21,Quality Issue,Completed,UPI,3757.14
900388,717184,2025-09-29,,requested,Store Credit,1367.1
900389,715926,2025-11-21,Size Issue,Rejected,UPI,0.0
900390,717750,2024-10-17,,approved,,21255.94
900391,700070,2025-01-11,Wrong Item,Approved,Original Payment,2305.8
900392,714908,2025-09-09,Duplicate Order,approved,Bank Transfer,1800.2
900393,709939,2024-05-05,Wrong Item,Approved,UPI,2975.47
900394,705647,2025-09-15,size issue,Approved,UPI,1550.71
900395,708972,2025-06-05,,Approved,UPI,7500.15
900396,711807,2024-01-27,Duplicate Order,Completed,Bank Transfer,16251.81
900397,708955,2025-03-26,size issue,Rejected,Store Credit,3171.51
900398,718579,2025-01-09,Late Delivery,Approved,Original Payment,2725.47
900399,704197,2024-07-29,,requested,Store Credit,496.88
900400,704468,2025-05-22,,Completed,original payment,12035.86
900401,706615,2024-01-21,Quality Issue,Requested,Original Payment,709.49
900402,719642,2024-08-03,Duplicate Order,Approved,UPI,9279.79
900403,714495,2024-02-09,Duplicate Order,Approved,UPI,4176.92
900404,700749,2025-03-10,,Rejected,UPI,542.87
900405,702136,2025-05-07,Duplicate Order,Requested,UPI,5092.27
900406,702603,2024-04-30,,,UPI,5064.75
900407,710580,2024-02-10,damaged,Rejected,Store Credit,7214.08
900408,705305,2025-12-12,Not as Expected,approved,original payment,10027.45
900409,713219,2024-07-27,damaged,approved,Original Payment,3047.35
900410,703086,2025-11-10,Changed Mind,requested,Store Credit,1599.05
900411,718246,2025-07-22,size issue,requested,,2992.97
900412,718145,2024-04-13,Duplicate Order,,Bank Transfer,4997.0
900413,716840,2024-06-29,Wrong Item,,UPI,0.0
900414,706705,2025-04-16,Wrong Item,approved,,707.35
900415,703850,2024-04-11,Duplicate Order,Completed,,13085.02
900416,705028,2025-05-31,Damaged,Completed,Store Credit,1069.58
900417,715379,2024-02-01,Late Delivery,,Original Payment,3763.56
900418,716787,2025-03-28,Size Issue,requested,,12697.55
900419,715602,2025-08-05,Size Issue,,UPI,7827.38
900420,711253,2024-08-05,Duplicate Order,Approved,,3453.53
900421,702689,2025-02-27,size issue,Rejected,Store Credit,1913.41
900422,715004,2025-10-25,Duplicate Order,,Bank Transfer,4438.24
900423,709238,2025-12-25,damaged,Approved,Original Payment,2829.6
900424,709458,2024-12-17,Not as Expected,Requested,Bank Transfer,5231.79
900425,714375,2024-05-01,Duplicate Order,,,7023.34
900426,704457,2024-10-01,Wrong Item,Completed,,1188.01
900427,711365,2025-09-17,Changed Mind,Approved,UPI,11463.57
900428,704951,2025-10-03,damaged,Requested,original payment,14898.11
900429,705010,2025-10-06,Changed Mind,requested,,2043.14
900430,715009,2024-10-22,Quality Issue,,Bank Transfer,3389.06
900431,708343,2025-05-18,Duplicate Order,Completed,UPI,0.0
900432,707935,2024-09-09,Quality Issue,Completed,,2252.96
900433,704153,2024-06-03,Not as Expected,requested,UPI,1108.74
900434,715792,2024-09-01,Damaged,Approved,UPI,2424.8
900435,710560,2024-03-28,Wrong Item,approved,UPI,5991.03
900436,700550,2025-08-21,Duplicate Order,Approved,UPI,619.29
900437,709378,2024-05-15,Damaged,Rejected,Bank Transfer,0.0
900438,704364,2024-06-27,Damaged,Requested,original payment,6522.93
